strategy,CAGR,daily_sharpe,max_drawdown,win_ratio
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
EPS_qb2of5__EV_EBITDA_qb0of5__C2_ROE_DYN_riseq2__v0,0.3279571959294745,9.73,-0.28791698533507115,0.5007256894049347
FCF_P_qb1of5__EV_EBITDA_qb2of5__C4_ROE_DYN_qmax8__v0,0.3110321558515532,14.43,-0.3437422954625745,0.5066864784546805
FCF_P_qb4of5__EV_EBITDA_qb1of5__C10_EPS_DYN_qmax4__v1,0.3106813771421355,12.75,-0.44397156916543445,0.5378787878787878
EPS_qb2of5__EV_EBITDA_qb0of5__C16_FCF_P_DYN_riseq2__v0,0.30885909263379374,11.18,-0.4978128292698121,0.5079051383399209
EPS_qb2of5__EV_EBITDA_qb0of5__C1_ROE_DYN_riseq1__v0,0.3068378823059741,11.97,-0.322184276247622,0.4827586206896552
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v1,0.29875290652587694,13.78,-0.39476769398085043,0.5739644970414202
EPS_qb3of5__FCF_P_qb4of5__C18_FCF_P_DYN_qmax8__v1,0.28768444097464463,8.83,-0.47244723857669624,0.5279187817258884
ROE_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.28565287944210316,19.45,-0.40554538846309074,0.4492525570416995
EPS_qb2of5__EV_EBITDA_qb0of5__C19_FCF_P_DYN_yoy__v0,0.2851004858825681,12.24,-0.37059317586919394,0.5130784708249497
