strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,EPS_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v1,EPS_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v1,0.29875290652587694,13.78,-0.39476769398085043,0.5739644970414202
EPS_qb3of5__FCF_P_qb4of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb3of5,FCF_P_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.28768444097464463,8.83,-0.47244723857669624,0.5279187817258884
ROE_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,ROE_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v0,0.28565287944210316,19.45,-0.40554538846309074,0.4492525570416995
ROE_qb3of5__FCF_OI_qb2of5__C10_EPS_DYN_qmax4__v1,ROE_qb3of5,FCF_OI_qb2of5,C10_EPS_DYN_qmax4,v1,0.2775054494250806,15.5,-0.5161750180700774,0.5428571428571428
EPS_qb3of5__None__C18_FCF_P_DYN_qmax8__v1,EPS_qb3of5,None,C18_FCF_P_DYN_qmax8,v1,0.26697734865732903,9.13,-0.5749239853574495,0.47953216374269003
EPS_qb3of5__None__C11_EPS_DYN_qmax8__v1,EPS_qb3of5,None,C11_EPS_DYN_qmax8,v1,0.26595761946439467,12.1,-0.34899820167778983,0.5336633663366337
FCF_P_qb4of5__FCF_OI_qb3of5__C3_ROE_DYN_qmax4__v1,FCF_P_qb4of5,FCF_OI_qb3of5,C3_ROE_DYN_qmax4,v1,0.2642313521372426,11.06,-0.4494597200776519,0.5313531353135313
EPS_qb3of5__FCF_P_qb4of5__C10_EPS_DYN_qmax4__v1,EPS_qb3of5,FCF_P_qb4of5,C10_EPS_DYN_qmax4,v1,0.26409751280152594,10.46,-0.3790637960279599,0.5706666666666667
ROE_qb3of5__FCF_OI_qb1of5__C19_FCF_P_DYN_yoy__v1,ROE_qb3of5,FCF_OI_qb1of5,C19_FCF_P_DYN_yoy,v1,0.26062095790469675,13.51,-0.403096118299446,0.5215827338129496
FCF_P_qb0of5__FCF_OI_qb1of5__C4_ROE_DYN_qmax8__v0,FCF_P_qb0of5,FCF_OI_qb1of5,C4_ROE_DYN_qmax8,v0,0.25997330326459434,10.44,-0.5877285346218808,0.4892205638474295
EPS_qb3of5__FCF_P_qb4of5__C11_EPS_DYN_qmax8__v1,EPS_qb3of5,FCF_P_qb4of5,C11_EPS_DYN_qmax8,v1,0.2595612186376892,12.85,-0.4468142233513792,0.5815899581589958
FCF_P_qb3of5__FCF_OI_qb3of5__C6_ROE_DYN_ytdavg_gt_lyytdavg__v1,FCF_P_qb3of5,FCF_OI_qb3of5,C6_ROE_DYN_ytdavg_gt_lyytdavg,v1,0.2582897196030842,21.07,-0.5454712044814365,0.5
ROE_qb3of5__FCF_OI_qb2of5__C11_EPS_DYN_qmax8__v1,ROE_qb3of5,FCF_OI_qb2of5,C11_EPS_DYN_qmax8,v1,0.2572105225386565,13.64,-0.49980683158715233,0.5707070707070707
ROE_qb4of5__FCF_P_qb4of5__C10_EPS_DYN_qmax4__v1,ROE_qb4of5,FCF_P_qb4of5,C10_EPS_DYN_qmax4,v1,0.2492749131508245,12.22,-0.42775045144772916,0.532258064516129
EPS_qb3of5__FCF_OI_qb1of5__C14_EPS_DYN_ytdavg_gt_lyavg__v1,EPS_qb3of5,FCF_OI_qb1of5,C14_EPS_DYN_ytdavg_gt_lyavg,v1,0.2491412874218928,19.67,-0.5356712947695539,0.5533453887884268
ROE_qb3of5__FCF_P_qb1of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,ROE_qb3of5,FCF_P_qb1of5,C7_ROE_DYN_ytdavg_gt_lyavg,v1,0.24738770682807876,19.47,-0.6346192913032641,0.5150214592274678
EPS_qb3of5__FCF_OI_qb4of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb3of5,FCF_OI_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.24646848765767637,9.28,-0.5442665712209616,0.48295454545454547
FCF_OI_qb2of5__None__C4_ROE_DYN_qmax8__v1,FCF_OI_qb2of5,None,C4_ROE_DYN_qmax8,v1,0.24585276417807167,11.08,-0.40719136538517686,0.5155963302752293
ROE_qb3of5__FCF_OI_qb2of5__C4_ROE_DYN_qmax8__v1,ROE_qb3of5,FCF_OI_qb2of5,C4_ROE_DYN_qmax8,v1,0.24561464853764448,10.74,-0.5308235474588949,0.5614035087719298
