strategy,primary,secondary,CAGR,primary_solo_CAGR,配對增益,max_drawdown,win_ratio,平均持股數,持股月份覆蓋率,持股數p10,晉升,未過原因
P_IC_qb0of3__ROE_qb2of3__None__v0,P_IC_qb0,ROE_qb2,0.20973001630778976,0.17867438611691733,0.03105563019087243,-0.4662598126572205,0.5178952991452992,68.52861952861953,1.0,7.0,True,
PB_qb0of3__ROE_qb2of3__None__v0,PB_qb0,ROE_qb2,0.20669866335001674,0.18050911811184078,0.02618954523817596,-0.4422328008577091,0.5180316818335019,45.02020202020202,1.0,4.0,True,
PB_qb0of3__ROIC_qb2of3__None__v0,PB_qb0,ROIC_qb2,0.20645135520675573,0.18050911811184078,0.025942237094914944,-0.4591092631161142,0.5103763629968343,47.54014598540146,1.0,6.0,True,
P_IC_qb0of3__DEBTRATIO_qb0of3__None__v0,P_IC_qb0,DEBTRATIO_qb0,0.20390695840205297,0.17867438611691733,0.025232572285135646,-0.5663237935833458,0.5981308411214953,50.30639730639731,1.0,25.0,True,
PB_qb0of3__PS_qb0of3__None__v0,PB_qb0,PS_qb0,0.19552828855051252,0.18050911811184078,0.015019170438671736,-0.5673547855603668,0.6203608247422681,256.0875420875421,1.0,146.0,True,
EV_S_qb0of3__MOM_qb2of3__None__v0,EV_S_qb0,MOM_qb2,0.1955004527469444,0.15703616256886455,0.03846429017807984,-0.6309531961281287,0.48765850353305584,156.6161616161616,1.0,92.80000000000001,True,
PB_qb0of3__OCF_E_qb2of3__None__v0,PB_qb0,OCF_E_qb2,0.1948977085456407,0.18050911811184078,0.01438859043379992,-0.5443796510072472,0.5140855349584003,109.73400673400674,1.0,50.0,True,
PB_qb0of3__EV_EBITDA_qb0of3__None__v0,PB_qb0,EV_EBITDA_qb0,0.19475174231000114,0.18050911811184078,0.014242624198160359,-0.5529732400565965,0.5401176977178126,207.27272727272728,1.0,113.0,True,
PB_qb0of3__EV_S_qb0of3__None__v0,PB_qb0,EV_S_qb0,0.19152523498206686,0.18050911811184078,0.011016116870226078,-0.5475926408420828,0.616516762060507,241.83838383838383,1.0,104.0,True,
PS_qb0of3__EV_EBITDA_qb0of3__None__v0,PS_qb0,EV_EBITDA_qb0,0.19132612263680127,0.16434511041889355,0.02698101221790772,-0.507684504254905,0.5051694428489374,183.84848484848484,1.0,98.0,True,
P_IC_qb0of3__EV_EBITDA_qb0of3__None__v0,P_IC_qb0,EV_EBITDA_qb0,0.19089426073683513,0.17867438611691733,0.012219874619917803,-0.5362828748333781,0.5187529672416522,197.8080808080808,1.0,112.0,True,
PB_qb0of3__FCF_OI_qb1of3__None__v0,PB_qb0,FCF_OI_qb1,0.18925522121144955,0.18050911811184078,0.00874610309960877,-0.5676334384373325,0.5063129702844025,148.86868686868686,1.0,78.0,True,
P_IC_qb0of3__PS_qb0of3__None__v0,P_IC_qb0,PS_qb0,0.1876102576683254,0.17867438611691733,0.00893587155140807,-0.5654281396019782,0.612869474234894,293.74747474747477,1.0,161.0,True,
PB_qb0of3__DEBTRATIO_qb2of3__None__v0,PB_qb0,DEBTRATIO_qb2,0.18635950857908368,0.18050911811184078,0.005850390467242894,-0.5881653187962653,0.6022453889334403,170.23905723905725,1.0,103.0,True,
PB_qb0of3__NETDEBT_EBITDA_qb0of3__None__v0,PB_qb0,NETDEBT_EBITDA_qb0,0.18598838212849822,0.18050911811184078,0.005479264016657437,-0.5399443481153215,0.6272164948453608,134.5185185185185,1.0,39.0,True,
P_IC_qb0of3__PB_qb0of3__None__v0,PB_qb0,P_IC_qb0,0.18573029068263458,0.18050911811184078,0.005221172570793797,-0.580537362477654,0.6695192549710546,348.35353535353534,1.0,203.0,True,
