strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,EPS_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v1,EPS_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v1,0.29875290652587694,13.78,-0.39476769398085043,0.5739644970414202
FCF_P_qb1of5__ROIC_qb4of5__C4_ROE_DYN_qmax8__v0,FCF_P_qb1of5,ROIC_qb4of5,C4_ROE_DYN_qmax8,v0,0.29813274757309327,18.37,-0.39890695068660054,0.4645110410094637
EPS_qb3of5__FCF_P_qb4of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb3of5,FCF_P_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.28768444097464463,8.83,-0.47244723857669624,0.5279187817258884
EPS_qb1of5__ROIC_qb3of5__C10_EPS_DYN_qmax4__v1,EPS_qb1of5,ROIC_qb3of5,C10_EPS_DYN_qmax4,v1,0.28670330194326255,24.16,-0.42596558561663467,0.7142857142857143
ROE_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,ROE_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v0,0.28565287944210316,19.45,-0.40554538846309074,0.4492525570416995
FCF_P_qb1of5__ROIC_qb4of5__C4_ROE_DYN_qmax8__v1,FCF_P_qb1of5,ROIC_qb4of5,C4_ROE_DYN_qmax8,v1,0.2762598441754487,13.56,-0.3852435802986418,0.547945205479452
EPS_qb1of5__ROIC_qb3of5__C11_EPS_DYN_qmax8__v1,EPS_qb1of5,ROIC_qb3of5,C11_EPS_DYN_qmax8,v1,0.2728104253312924,27.77,-0.42596558561663467,0.6363636363636364
EPS_qb3of5__None__C18_FCF_P_DYN_qmax8__v1,EPS_qb3of5,None,C18_FCF_P_DYN_qmax8,v1,0.26697734865732903,9.13,-0.5749239853574495,0.47953216374269003
EPS_qb3of5__None__C11_EPS_DYN_qmax8__v1,EPS_qb3of5,None,C11_EPS_DYN_qmax8,v1,0.26595761946439467,12.1,-0.34899820167778983,0.5336633663366337
EPS_qb3of5__FCF_P_qb4of5__C10_EPS_DYN_qmax4__v1,EPS_qb3of5,FCF_P_qb4of5,C10_EPS_DYN_qmax4,v1,0.26409751280152594,10.46,-0.3790637960279599,0.5706666666666667
ROE_qb3of5__ROIC_qb4of5__C12_EPS_DYN_yoy__v1,ROE_qb3of5,ROIC_qb4of5,C12_EPS_DYN_yoy,v1,0.2604222088601622,12.38,-0.6565662460169484,0.512720156555773
EPS_qb3of5__FCF_P_qb4of5__C11_EPS_DYN_qmax8__v1,EPS_qb3of5,FCF_P_qb4of5,C11_EPS_DYN_qmax8,v1,0.2595612186376892,12.85,-0.4468142233513792,0.5815899581589958
EPS_qb3of5__ROIC_qb4of5__C11_EPS_DYN_qmax8__v1,EPS_qb3of5,ROIC_qb4of5,C11_EPS_DYN_qmax8,v1,0.25038716872380196,12.7,-0.4601188087942871,0.5613496932515337
ROE_qb4of5__FCF_P_qb4of5__C10_EPS_DYN_qmax4__v1,ROE_qb4of5,FCF_P_qb4of5,C10_EPS_DYN_qmax4,v1,0.2492749131508245,12.22,-0.42775045144772916,0.532258064516129
EPS_qb3of5__ROIC_qb4of5__C19_FCF_P_DYN_yoy__v1,EPS_qb3of5,ROIC_qb4of5,C19_FCF_P_DYN_yoy,v1,0.24891778864190983,19.95,-0.6578626409577342,0.5194585448392555
ROE_qb3of5__FCF_P_qb1of5__C7_ROE_DYN_ytdavg_gt_lyavg__v1,ROE_qb3of5,FCF_P_qb1of5,C7_ROE_DYN_ytdavg_gt_lyavg,v1,0.24738770682807876,19.47,-0.6346192913032641,0.5150214592274678
FCF_P_qb4of5__ROIC_qb4of5__C10_EPS_DYN_qmax4__v1,FCF_P_qb4of5,ROIC_qb4of5,C10_EPS_DYN_qmax4,v1,0.2446803212353479,14.38,-0.5426710911660053,0.5421686746987951
EPS_qb3of5__FCF_P_qb3of5__C13_EPS_DYN_ytdavg_gt_lyytdavg__v1,EPS_qb3of5,FCF_P_qb3of5,C13_EPS_DYN_ytdavg_gt_lyytdavg,v1,0.2433783547388344,14.72,-0.5904369926790627,0.4880546075085324
FCF_P_qb4of5__None__C10_EPS_DYN_qmax4__v1,FCF_P_qb4of5,None,C10_EPS_DYN_qmax4,v1,0.24265810892609618,12.77,-0.4267319991616001,0.5182625863770978
