strategy,F1,F2,C,V,CAGR,daily_sharpe,max_drawdown,win_ratio
FCF_P_qb4of5__EV_S_qb0of5__C10_EPS_DYN_qmax4__v1,FCF_P_qb4of5,EV_S_qb0of5,C10_EPS_DYN_qmax4,v1,0.3668296640235882,10.68,-0.3775658679752343,0.5676855895196506
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,EPS_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v1,EPS_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v1,0.29875290652587694,13.78,-0.39476769398085043,0.5739644970414202
FCF_P_qb1of5__EV_S_qb0of5__C12_EPS_DYN_yoy__v0,FCF_P_qb1of5,EV_S_qb0of5,C12_EPS_DYN_yoy,v0,0.29760422370615003,14.05,-0.3073390689087824,0.43257612373127113
FCF_P_qb1of5__EV_S_qb0of5__C15_FCF_P_DYN_riseq1__v0,FCF_P_qb1of5,EV_S_qb0of5,C15_FCF_P_DYN_riseq1,v0,0.29610741441173616,13.95,-0.7094073852486997,0.4580152671755725
EPS_qb3of5__EV_S_qb0of5__C10_EPS_DYN_qmax4__v1,EPS_qb3of5,EV_S_qb0of5,C10_EPS_DYN_qmax4,v1,0.29255923567159803,13.17,-0.41909869563819657,0.512396694214876
EPS_qb3of5__FCF_P_qb4of5__C18_FCF_P_DYN_qmax8__v1,EPS_qb3of5,FCF_P_qb4of5,C18_FCF_P_DYN_qmax8,v1,0.28768444097464463,8.83,-0.47244723857669624,0.5279187817258884
ROE_qb3of5__EV_S_qb0of5__C12_EPS_DYN_yoy__v1,ROE_qb3of5,EV_S_qb0of5,C12_EPS_DYN_yoy,v1,0.2865914498902731,14.29,-0.7240244462680847,0.5038167938931297
ROE_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,ROE_qb4of5,FCF_P_qb1of5,C4_ROE_DYN_qmax8,v0,0.28565287944210316,19.45,-0.40554538846309074,0.4492525570416995
EV_S_qb0of5__None__C12_EPS_DYN_yoy__v1,EV_S_qb0of5,None,C12_EPS_DYN_yoy,v1,0.2791114040946414,15.2,-0.7215991434610436,0.5120521172638437
FCF_P_qb4of5__EV_S_qb0of5__C3_ROE_DYN_qmax4__v1,FCF_P_qb4of5,EV_S_qb0of5,C3_ROE_DYN_qmax4,v1,0.2769980755888888,12.37,-0.3750836301455378,0.5660377358490566
ROE_qb3of5__EV_S_qb0of5__C10_EPS_DYN_qmax4__v1,ROE_qb3of5,EV_S_qb0of5,C10_EPS_DYN_qmax4,v1,0.27337984453392283,14.3,-0.5477446570982278,0.5
FCF_P_qb1of5__EV_S_qb0of5__C14_EPS_DYN_ytdavg_gt_lyavg__v0,FCF_P_qb1of5,EV_S_qb0of5,C14_EPS_DYN_ytdavg_gt_lyavg,v0,0.2726658961244597,16.21,-0.3131281191524826,0.4164118246687054
FCF_P_qb1of5__EV_S_qb0of5__C7_ROE_DYN_ytdavg_gt_lyavg__v0,FCF_P_qb1of5,EV_S_qb0of5,C7_ROE_DYN_ytdavg_gt_lyavg,v0,0.2722579417972024,16.27,-0.32275998132788497,0.4148936170212766
EPS_qb3of5__None__C18_FCF_P_DYN_qmax8__v1,EPS_qb3of5,None,C18_FCF_P_DYN_qmax8,v1,0.26697734865732903,9.13,-0.5749239853574495,0.47953216374269003
EPS_qb3of5__None__C11_EPS_DYN_qmax8__v1,EPS_qb3of5,None,C11_EPS_DYN_qmax8,v1,0.26595761946439467,12.1,-0.34899820167778983,0.5336633663366337
EPS_qb3of5__EV_S_qb0of5__C16_FCF_P_DYN_riseq2__v1,EPS_qb3of5,EV_S_qb0of5,C16_FCF_P_DYN_riseq2,v1,0.26511211749305064,18.17,-0.42836383715377957,0.5279069767441861
EPS_qb3of5__FCF_P_qb4of5__C10_EPS_DYN_qmax4__v1,EPS_qb3of5,FCF_P_qb4of5,C10_EPS_DYN_qmax4,v1,0.26409751280152594,10.46,-0.3790637960279599,0.5706666666666667
EPS_qb3of5__EV_S_qb0of5__C19_FCF_P_DYN_yoy__v1,EPS_qb3of5,EV_S_qb0of5,C19_FCF_P_DYN_yoy,v1,0.26061407060339326,17.39,-0.5499821680266629,0.5446428571428571
FCF_P_qb4of5__EV_S_qb0of5__C2_ROE_DYN_riseq2__v1,FCF_P_qb4of5,EV_S_qb0of5,C2_ROE_DYN_riseq2,v1,0.26061161109055386,12.2,-0.4550757743348778,0.5454545454545454
