strategy,CAGR,daily_sharpe,max_drawdown,win_ratio
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
FCF_P_qb0of5__CROIC_qb1of5__C4_ROE_DYN_qmax8__v0,0.32943712543127046,9.58,-0.6131929286397981,0.490280777537797
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v1,0.29875290652587694,13.78,-0.39476769398085043,0.5739644970414202
EPS_qb3of5__FCF_P_qb4of5__C18_FCF_P_DYN_qmax8__v1,0.28768444097464463,8.83,-0.47244723857669624,0.5279187817258884
FCF_P_qb3of5__CROIC_qb2of5__C11_EPS_DYN_qmax8__v0,0.28767892376678517,10.61,-0.4521338900585604,0.4873096446700508
ROE_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.28565287944210316,19.45,-0.40554538846309074,0.4492525570416995
EPS_qb3of5__CROIC_qb4of5__C18_FCF_P_DYN_qmax8__v1,0.28166189750010884,9.06,-0.5248638440746314,0.4963325183374083
CROIC_qb2of5__None__C4_ROE_DYN_qmax8__v1,0.27009100094012806,10.28,-0.355366523260395,0.5089820359281437
EPS_qb3of5__None__C18_FCF_P_DYN_qmax8__v1,0.26697734865732903,9.13,-0.5749239853574495,0.47953216374269003
EPS_qb3of5__None__C11_EPS_DYN_qmax8__v1,0.26595761946439467,12.1,-0.34899820167778983,0.5336633663366337
