strategy,CAGR,daily_sharpe,max_drawdown,win_ratio
FCF_P_qb0of5__PB_qb0of5__C4_ROE_DYN_qmax8__v0,0.36379325336805923,11.52,-0.48684601883232115,0.5014925373134328
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.3392709352681387,16.48,-0.40907987819348246,0.4773218142548596
EPS_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v1,0.29875290652587694,13.78,-0.39476769398085043,0.5739644970414202
EPS_qb3of5__FCF_P_qb4of5__C18_FCF_P_DYN_qmax8__v1,0.28768444097464463,8.83,-0.47244723857669624,0.5279187817258884
ROE_qb4of5__FCF_P_qb1of5__C4_ROE_DYN_qmax8__v0,0.28565287944210316,19.45,-0.40554538846309074,0.4492525570416995
FCF_P_qb0of5__PB_qb0of5__C2_ROE_DYN_riseq2__v1,0.2834172517979465,14.46,-0.6385687096839929,0.527027027027027
FCF_P_qb0of5__PB_qb0of5__C3_ROE_DYN_qmax4__v0,0.27849418602073683,14.31,-0.5395100195162011,0.5092724679029957
PB_qb0of5__None__C3_ROE_DYN_qmax4__v1,0.27414247889310017,17.18,-0.6204862333458838,0.5253164556962026
FCF_P_qb1of5__PB_qb0of5__C4_ROE_DYN_qmax8__v0,0.27384145245686264,13.8,-0.3162276995381659,0.2958152958152958
ROE_qb4of5__PB_qb1of5__C9_EPS_DYN_riseq2__v0,0.2716100194377531,17.29,-0.4658570876424052,0.4339300937766411
